Left Hand Side,Right Hand Side,Support,Confidence,Lift,Support_abs
Petfield - Lata Wetfood Dog Chicken » 410Gr,Petfield - Lata Wetfood Dog Meat & Vegetables » 410Gr,0.0007146558038984474,0.6557377049180327,764.6311475409835,40
Petfield - Lata Wetfood Dog Beef » 410Gr.,Petfield - Lata Wetfood Dog Meat & Vegetables » 410Gr,0.0006610566186060639,0.6271186440677966,731.2595338983051,37
Petfield - Lata Wetfood Dog Beef » 410Gr.,Petfield - Lata Wetfood Dog Chicken » 410Gr,0.0008397205695806757,0.7966101694915254,730.935537649347,47
"GOURMET NATURE'S CREATIONS Frango, Espinafres e Tomate - 24x85Gr.","GOURMET NATURE'S CREATIONS Peixe Oceano, Espinafres e Arroz -24x85Gr.",0.0005717246431187579,0.4102564102564103,560.0600375234523,32
Dentafun - Dentros Light (7Pcs) (180Gr.),Opti Life - Adult Light Sterilised Medium & Maxi » 12.5kg,0.0005717246431187579,0.31683168316831684,432.52161313692346,32
Curva Plástico 12mm,União de 12mm para Bebedouros Automáticos,0.0006074574333136803,0.3119266055045872,281.59425865640725,34
Art.207 - Tampa com Asa p/ Transp. Tino,Art.235 - Transportadora Tino Economica,0.0009290525450679816,0.48148148148148145,277.8247422680412,52
Cruzeta Plástico 12mm,Curva Plástico 12mm,0.0006253238284111414,0.5303030303030303,272.3081734778982,35
Versela-Laga - Papagaios Exotic Fruit » 750Gr.,Versele-Laga - Papagaios Exotic Nuts » 750gr,0.0008575869646781369,0.4897959183673469,258.6261070465922,48
Cruzeta Plástico 12mm,Torneira Passagem 12mm,0.0005538582480212967,0.46969696969696967,236.84152334152336,31
Curva Plástico 12mm,Tê de 12mm para Bebedouros Automáticos,0.0015722427685765843,0.8073394495412843,231.73126323218065,88
Cruzeta Plástico 12mm,Tê de 12mm para Bebedouros Automáticos,0.0009290525450679816,0.7878787878787878,226.14545454545456,52
Tubo Flexivel para Bebedouros Automáticos 12mm » Metro,Tê de 12mm para Bebedouros Automáticos,0.0006074574333136803,0.7391304347826088,212.1531772575251,34
Saida de Deposito  12mm,Torneira Passagem 12mm,0.0006610566186060639,0.40217391304347827,202.7934782608696,37
Triple Crown - Gourmet Dog - 15kg,Triple Crown - Housy Dog - 15kg,0.0006431902235086027,0.32727272727272727,201.2943056943057,36
Nekton E » 35Gr.,Nekton S » 35Gr.,0.0008933197548730593,0.352112676056338,201.10304685254383,50
Agrafe A18 reforçado 18mm (Cx +-1000),Alicate Agrafes Rede Salki 16/20 s/Carregador FSK20,0.0005538582480212967,0.34444444444444444,198.75154639175256,31
Nekton E 70Gr.,Nekton S 75Gr.,0.0010005181254578264,0.42105263157894735,198.03980539584254,56
Tê de 12mm para Bebedouros Automáticos,União de 12mm para Bebedouros Automáticos,0.0007503885940933698,0.2153846153846154,194.44019851116627,42
Curva Plástico 12mm,Saida de Deposito  12mm,0.0006074574333136803,0.3119266055045872,189.770043877144,34
Curva Plástico 12mm,Torneira Passagem 12mm,0.0007146558038984474,0.3669724770642202,185.0433920158691,40
Tubo Flexivel para Bebedouros Automáticos 12mm (Rolo 10Mts),Tê de 12mm para Bebedouros Automáticos,0.0008397205695806757,0.6103896103896104,175.2005994005994,47
Libra - Dog Adult Cordeiro » 14kg,Libra - Dog Adult Frango » 14kg,0.0009469189401654428,0.3785714285714286,170.87920506912445,53
Torneira Passagem 12mm,Tê de 12mm para Bebedouros Automáticos,0.0011255828911400547,0.5675675675675677,162.90935550935555,63
Saida de Deposito  12mm,Tê de 12mm para Bebedouros Automáticos,0.0009290525450679816,0.5652173913043478,162.23478260869564,52
Nekton E 140Gr.,Nekton S 150Gr.,0.0008933197548730593,0.3676470588235294,157.0807139649753,50
Bayer - Advantage Gato + 4kg - 4 Pipetas,Bayer - Advantage Gato Até 4kg - 4 Pipetas,0.0005895910382162191,0.27049180327868855,154.4867012378722,33
Gold Patee Vermelha 1kg,Orlux - Gold Patee Canarios 1kg,0.0006431902235086027,0.4235294117647059,149.09034406215318,36
Coleira Scalibor 48,Coleira Scalibor 65,0.0005895910382162191,0.336734693877551,148.40454764582998,33
Bebedouro Pipeta Niple fixação mola Clip,Tê de 12mm para Bebedouros Automáticos,0.0005538582480212967,0.5166666666666666,148.29923076923075,31
Pet Cup - Cacatuas Gr. Porte Premium (15kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0005181254578263744,0.453125,120.77075892857142,29
Deli Nature 64 - Papagaios Suprema (15kg),Loro Parque Mix Papagaios Amazonas » 15kg,0.0006610566186060639,0.30081300813008127,110.76845314505775,37
Happy Life Adult Lamb » 15kg,Happy Life Adult Salmão (15kg),0.0007682549891908309,0.5443037974683543,109.982772014806,43
Pet Cup - Cacatuas Gr. Porte Premium (15kg),Pet Cup - Mistura Araras Premium (12kg),0.0005002590627289132,0.4375,109.80857623318386,28
Bebedouro Pipeta Niple Inox Fixação Parafuso,Curva Plástico 12mm,0.0005895910382162191,0.20754716981132076,106.57451964687554,33
Deli Nature 20 - Serengeti (15kg),Deli Nature 22 - Amazonas Park (15kg),0.0014293116077968948,0.2597402597402597,104.58936746706529,80
"GOURMET GOLD Mousse para Gato - Coelho, Vaca, Vitela e Borrego (Pack 24x85Gr.)","GOURMET GOLD Tartelette para Gato - Frango, Vaca, Atum e Salmão (Pack 24x85Gr.)",0.002090368226402959,0.4642857142857143,102.30919572553432,117
Loro Parque Mix Papagaio Africano » 15kg,Loro Parque Mix Papagaios Amazonas » 15kg,0.001447178002894356,0.2727272727272727,100.42643540669854,81
Bebedouro Pipeta Niple Inox Fixação Parafuso,Tê de 12mm para Bebedouros Automáticos,0.0009826517303603653,0.3459119496855346,99.28737300435415,55
Bayer - Advantix 10 a 25kg - 4 Pipetas,Bayer - Advantix 25 a 40kg - 4 Pipetas,0.0007682549891908309,0.3359375,93.54605876865672,43
Agrafe A16 reforçado 16mm (Cx +-1000),Alicate Agrafes Rede Salki 16/20 s/Carregador FSK20,0.0007146558038984474,0.15444015444015444,89.11515344505034,40
Colina Ca/P 30ml,Vita B Complexo 30ml,0.0005181254578263744,0.29896907216494845,89.00849967098048,29
Libra - Dog Adult Frango » 14kg,Libra - Dog Salmão » 14kg,0.0006967894088009862,0.31451612903225806,81.12342054407611,39
Deli Nature 22 - Amazonas Park (15kg),Deli Nature 23 - Pantanal (12.5kg),0.0005895910382162191,0.23741007194244604,80.04866949813643,33
Fertizoon AD3EC 30ml,Vita B Complexo 30ml,0.0005538582480212967,0.2583333333333333,76.91050531914892,31
Bayer - Advantix 25 a 40kg - 4 Pipetas,Bayer - Advantix 4 a 10kg - 4 Pipetas,0.0005181254578263744,0.14427860696517414,76.18318783441285,29
Papa Frutos Tropicais Pet Cup » 750Gr,Papa Ovo Humida Pet Cup 750Gr.,0.0006789230137035251,0.2657342657342658,69.17866319726787,38
Pet Cup - Mistura Papagaios Africanos Premium (15kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0011434492862375158,0.2570281124497992,68.50533562822719,64
Casca Ostra Fina Pet Cup » 1.5kg,Grite para Passáros Pet Cup » 1.5kg,0.0007682549891908309,0.2885906040268456,61.887757463550095,43
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Papagaios Amazonas Premium (15kg),0.0009111861499705204,0.2286995515695067,60.954964766175515,51
Rolo Papel de Alcatrão 40cm,Rolo Papel de Alcatrão 57cm,0.0005002590627289132,0.112,59.139169811320755,28
Art.432 - Ninho p/ Exóticos,Art.84 - Ninho Plastico Diamante Gold,0.0007325221989959086,0.12538226299694188,58.48142201834862,41
Ninho Plástico Grande c/ Grampo - 12cm,Ninho Sisal Cosido Ø12x4cm,0.0010005181254578264,0.16279069767441862,57.66808949072711,56
Deli Nature 64 - Papagaios Suprema (15kg),Loro Parque Mix Papagaio Africano » 15kg,0.0006431902235086027,0.2926829268292683,55.15742793791574,36
Seresto Grande (70cm) Cão,Seresto Pequeno (38cm) Cão,0.0018402386950385021,0.21775898520084566,54.65555229002929,103
Coleira Seresto Gato,Seresto Pequeno (38cm) Cão,0.0010362509156527488,0.20714285714285716,51.99099935938501,58
Versele-Laga - Cuni Adult Complete 1.75kg,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0011970484715298994,0.8481012658227848,51.42911803831754,67
Nutribird - Gold Patee Gr. Periquitos & Papagaios    1kg,Psittacus - Alimento Manutenção Alta Proteina » 800gr (800Gr.),0.0005717246431187579,0.1,50.88272727272727,32
Versele-Laga - Cuni Adult Complete » 500Gr.,Versele-Laga - Feno Nature Timothy Hay (1kg),0.0005717246431187579,0.8205128205128206,49.7561463455288,32
Mistura Rolas » 20kg,Oke Cat - Classic Variety (10kg),0.0005359918529238356,0.1754385964912281,48.853102906520036,30
